scenario,P_laser,P_EUV,eta,CE,pulse_freq,F1,F3,F7,type,droplet_diameter,pulse_width,plasma_temp,F2,F4,F5,F6
sweep,20.0,100.14905252631598,0.08345754377192999,0.06,54.0,0.6,0.98,0.9,sweep,25.0,7.0,40.0,0.85,0.85,0.85,0.9
sweep,35.0,19.705253390594578,0.009383453995521228,0.06,45.0,0.6,0.98,0.85,sweep,25.0,1.0,40.0,0.85,0.85,0.85,0.9
sweep,40.0,311.62529571680585,0.12984387321533578,0.06,63.0,0.65,0.95,0.8,sweep,25.0,10.0,40.0,0.85,0.85,0.85,0.9
sweep,40.0,26.88646818308531,0.011202695076285546,0.06,54.0,0.65,0.85,0.9,sweep,25.0,1.0,40.0,0.85,0.85,0.85,0.9
sweep,30.0,17.873245705754723,0.009929580947641512,0.06,50.0,0.7,0.85,0.8,sweep,25.0,1.0,40.0,0.85,0.85,0.85,0.9
sweep,50.0,79.35242345702261,0.02645080781900754,0.06,27.0,0.65,0.85,0.85,sweep,25.0,5.0,40.0,0.85,0.85,0.85,0.9
sweep,50.0,137.93677373416205,0.04597892457805401,0.06,63.0,0.7,0.98,0.85,sweep,25.0,3.0,40.0,0.85,0.85,0.85,0.9
sweep,25.0,76.40812539210141,0.05093875026140094,0.06,72.0,0.7,0.95,0.85,sweep,25.0,3.0,40.0,0.85,0.85,0.85,0.9
sweep,25.0,10.340949301186658,0.006893966200791106,0.06,36.0,0.6,0.85,0.9,sweep,25.0,1.0,40.0,0.85,0.85,0.85,0.9
sweep,45.0,425.7024128988508,0.1576675603329077,0.06,72.0,0.65,0.95,0.85,sweep,25.0,10.0,40.0,0.85,0.85,0.85,0.9
sweep,30.0,13.512173753550568,0.007506763196416982,0.06,36.0,0.6,0.98,0.85,sweep,25.0,1.0,40.0,0.85,0.85,0.85,0.9
sweep,50.0,111.27672502924,0.03709224167641333,0.06,27.0,0.6,0.98,0.8,sweep,25.0,7.0,40.0,0.85,0.85,0.85,0.9
sweep,45.0,297.31749968750046,0.11011759247685203,0.06,63.0,0.7,0.95,0.9,sweep,25.0,7.0,40.0,0.85,0.85,0.85,0.9
sweep,35.0,53.48568777447099,0.02546937513070047,0.06,36.0,0.7,0.95,0.85,sweep,25.0,3.0,40.0,0.85,0.85,0.85,0.9
